sch_mf_chwp_handle,sch_mf_cwp_handle,sch_tchw_handle,sch_tcw_handle
0.972,0.796,5.4,34.3
0.972,0.798,5.6,34.3
0.972,0.798,5.6,34.3
0.974,0.798,5.4,34.3
0.974,0.798,5.4,34.3
0.974,0.798,5.3,34.1
0.974,0.798,5.3,34.1
0.974,0.798,5.3,34.1
0.974,0.798,5.3,34
0.976,0.798,5.4,34.1
0.976,0.798,5.4,34.1
0.972,0.798,5.4,34.1
0.972,0.798,5.4,34.1
0.972,0.798,5.6,34.1
0.972,0.804,5.4,34.3
0.976,0.81,5.4,34.3
0.974,0.81,5.4,34.3
0.972,0.81,5.3,34.3
0.974,0.81,5.1,34.1
0.974,0.81,5.1,34.1
0.972,0.81,5.1,34.1
0.974,0.81,5.3,34.1
0.972,0.81,5.4,34.1
0.972,0.81,5.4,34.1
0.974,0.81,5.4,34.1
0.974,0.81,5.4,34.1
0.972,0.812,5.4,34.3
0.972,0.812,5.3,34.3
0.972,0.814,5.1,34.1
0.974,0.814,5,34.1
0.974,0.81,5,34.1
0.974,0.81,5.1,34.1
0.972,0.808,5.1,34.1
0.976,0.804,5.1,34.1
0.974,0.804,5.3,34.3
0.972,0.804,5.4,34.3
0.974,0.804,5.3,34.3
0.972,0.804,5.4,34.3
0.976,0.804,5.4,34.4
0.972,0.804,5.4,34.3
0.974,0.804,5.1,34.3
0.974,0.802,5.1,34.3
0.972,0.802,10.3,40
0.976,0.802,5.1,34.3
0.976,0.802,5.3,34.3
0.974,0.802,5.3,34.3
0.972,0.802,5.4,34.3
0.974,0.802,5.6,34.4
0.974,0.804,5.6,34.4
0.972,0.804,5.4,34.4
0.974,0.806,5.3,34.4
0.972,0.806,5.3,34.4
0.974,0.804,5.1,34.4
0.972,0.802,5.1,34.3
0.972,0.802,5.3,34.4
0.976,0.802,5.1,34.3
0.974,0.802,5.1,34.4
0.976,0.802,5.3,34.4
0.972,0.802,5.4,34.4
0.974,0.802,5.6,34.3
0.974,0.802,5.4,34.4
0.972,0.806,5.4,34.4
0.974,0.816,5.4,34.4
0.974,0.818,5.4,34.4
0.972,0.818,5.1,34.3
0.972,0.818,5,34.3
0.972,0.818,5,34.3
0.972,0.818,5,34.3
0.974,0.818,5,34.3
0.974,0.818,5.1,34.3
0.974,0.818,5.3,34.3
0.974,0.818,5.4,34.4
0.974,0.824,5.4,34.3
0.974,0.826,5.4,34.4
0.974,0.826,5.4,34.4
0.972,0.826,5.3,34.4
0.972,0.826,5.1,34.3
0.972,0.826,5.1,34.4
0.972,0.826,5,34.4
0.972,0.826,5.1,34.4
0.972,0.826,5.1,34.4
0.972,0.826,5.1,34.4
0.974,0.826,5.1,34.4
0.974,0.826,5.3,34.4
0.974,0.826,5.3,34.4
0.974,0.826,5.3,34.4
0.974,0.826,5.4,34.4
0.972,0.826,5.3,34.4
0.972,0.826,5.1,34.4
0.972,0.826,5.1,34.4
0.972,0.826,5,34.3
0.974,0.826,5.1,34.3
0.972,0.826,5.1,34.3
0.972,0.826,5,34.3
0.974,0.824,5,34.1
0.974,0.824,5.1,34.3
0.974,0.824,5.1,34.1
0.974,0.824,5.3,34.1
0.974,0.824,5.3,34.3
0.974,0.824,5.3,34.3
0.974,0.824,5.3,34.3
0.972,0.824,5.1,34.3
0.976,0.824,5.1,34.3
0.972,0.822,5.1,34.3
0.972,0.822,5.1,34.4
0.972,0.822,5,34.4
0.972,0.822,5,34.4
0.974,0.82,5,34.4
0.974,0.82,5.3,34.4
0.974,0.82,5.4,34.4
0.974,0.822,5.4,34.6
0.974,0.824,5.4,34.6
0.972,0.826,5.3,34.6
0.974,0.826,5.3,34.6
0.972,0.826,5.3,34.6
0.972,0.826,5.3,34.6
0.972,0.824,5.3,34.6
0.972,0.822,5.1,34.6
0.972,0.822,5.1,34.4
0.972,0.818,5.1,34.6
0.972,0.818,5.1,34.6
0.972,0.818,5.3,34.6
0.972,0.818,5.4,34.6
0.974,0.82,5.4,34.6
0.974,0.82,5.4,34.6
0.974,0.82,5.4,34.6
0.974,0.822,5.4,34.6
0.974,0.822,5.4,34.6
0.974,0.822,5.4,34.6
0.972,0.822,5.3,34.6
0.972,0.822,5.3,34.4
0.972,0.82,5.3,34.6
0.974,0.82,5.3,34.6
0.974,0.82,5.4,34.6
0.974,0.82,5.4,34.8
0.974,0.82,5.4,34.6
0.974,0.822,5.4,34.6
0.974,0.824,5.4,34.6
0.974,0.824,5.6,34.6
0.974,0.828,5.6,34.6
0.974,0.83,5.4,34.6
0.974,0.834,5.3,34.6
0.974,0.834,5.3,34.6
0.974,0.834,5.1,34.6
0.974,0.838,5.3,34.6
0.974,0.838,5.3,34.8
0.974,0.842,5.4,34.6
0.974,0.842,5.4,34.6
0.974,0.842,5.4,34.6
0.974,0.844,5.6,34.8
0.976,0.846,5.6,34.8
0.98,0.85,5.6,35.1
0.98,0.86,5.4,35.2
0.98,0.872,5.3,35.2
0.98,0.88,5.1,35.2
0.98,0.888,5.1,35.1
0.98,0.894,5,35.1
0.978,0.898,5,35.1
0.98,0.902,5,35.1
0.98,0.904,5.1,35.1
0.98,0.908,5.1,35.1
0.98,0.91,5.3,35.1
0.98,0.912,5.4,35.1
0.98,0.916,5.3,35.1
0.98,0.918,5.1,35.1
0.978,0.918,5.1,35.1
0.98,0.918,5.1,35.1
0.978,0.918,5.1,35.1
0.98,0.918,5.1,35.1
0.978,0.918,5,34.9
0.978,0.918,5,34.9
0.978,0.916,5,34.9
0.978,0.916,5,34.9
0.978,0.916,5.1,35.1
0.978,0.914,5.1,35.1
0.98,0.912,5.1,35.1
0.98,0.912,5.3,35.1
0.98,0.912,5.3,35.1
0.98,0.912,5.3,35.1
0.98,0.912,5.3,35.1
0.98,0.912,5.3,35.1
0.98,0.912,5.1,35.1
0.978,0.912,5,35.1
0.978,0.908,5,34.9
0.978,0.904,5,34.9
0.978,0.9,5,34.9
0.976,0.896,5,34.9
0.978,0.894,5,34.8
0.978,0.89,5.1,34.8
0.978,0.89,5.3,34.9
0.978,0.89,5.3,34.9
0.978,0.89,5.4,34.9
0.978,0.892,5.4,34.9
0.978,0.894,5.3,34.9
0.978,0.894,5.1,34.9
0.978,0.894,5.1,34.8
0.978,0.894,5,34.8
0.978,0.894,5,34.8
0.978,0.894,5,34.6
0.978,0.894,5,34.8
0.976,0.894,5.1,34.8
0.978,0.894,5.3,34.8
0.978,0.894,5.3,34.8
0.924,0.894,5.4,34.8
0.978,0.896,5.4,34.9
0.978,0.9,5.3,34.8
0.978,0.9,5.3,34.9
0.978,0.9,5.1,34.9
0.978,0.9,5.1,34.8
0.976,0.9,5.1,34.9
